company,deal_date,round_type,amount_usd_millions,pre_money_valuation_millions,post_money_valuation_millions,lead_investors,other_investors,sector,subsector,hq_city,hq_country,founded_year,ceo,employees_approx,annual_revenue_millions,profitable,ipo_status,key_products,open_source,source,year,quarter,month,deal_size_tier,is_us_company,stage_number
DeepMind,2014-01-26,Acquisition,500,,,Google (acquirer),N/A,Foundation Model / Research,AI Research Lab,London,United Kingdom,2010,Demis Hassabis,400,,False,Acquired by Google,"AlphaFold, Gemini, AlphaGo",True,"The Information, Google",2014,1,1,Large ($500M+),False,0
OpenAI,2019-07-22,Strategic Investment,1000,,,Microsoft,None disclosed,Foundation Model / LLM,General-Purpose AI,San Francisco,United States,2015,Sam Altman,120,,False,Private,"GPT-2, OpenAI Five",True,Microsoft blog,2019,3,7,Unicorn ($1B+),True,8
Palantir,2020-09-30,Direct Listing,0,,15800.0,Public Market (NYSE),N/A,AI Application,Data Analytics / Defense AI,Denver,United States,2003,Alex Karp,2400,1093.0,True,Public (NYSE: PLTR),"Foundry, Gotham, AIP",False,SEC filing,2020,3,9,Early (<$100M),True,10
UiPath,2021-04-21,IPO,1340,,35800.0,Public Market (NYSE),"Morgan Stanley, JPMorgan, BofA",AI Application,Robotic Process Automation,New York,United States,2005,Daniel Dines,4000,892.0,False,Public (NYSE: PATH),"UiPath Platform, AI Center",False,SEC S-1 filing,2021,2,4,Unicorn ($1B+),True,10
SenseTime,2021-12-20,IPO,740,,16800.0,Public Market (HKEX),"Cornerstone: CITIC, CICC, HAO Capital",AI Application,Computer Vision / Smart City,Hong Kong,China,2014,Xu Li,6000,700.0,False,Public (HKEX: 0020),"SenseCore, facial recognition, autonomous driving",False,HKEX filings,2021,4,12,Large ($500M+),False,10
OpenAI,2022-04-01,Series D,300,19700.0,20000.0,"Tiger Global, a16z","Sequoia Capital, Bedrock",Foundation Model / LLM,General-Purpose AI,San Francisco,United States,2015,Sam Altman,375,36.0,False,Private,"GPT-3, DALL-E 2, Codex",False,"WSJ, PitchBook",2022,2,4,Growth ($100M+),True,5
Adept AI,2022-04-26,Series A,65,935.0,1000.0,Greylock Partners,"Addition, Atlassian Ventures",AI Application,AI Agent / Action Models,San Francisco,United States,2022,David Luan,40,,False,Acqui-hired by Amazon 2024,ACT-1 action model,False,"TechCrunch, The Information",2022,2,4,Early (<$100M),True,2
Stability AI,2022-10-17,Seed,101,900.0,1000.0,"Lightspeed, Coatue",O'Shaughnessy Ventures,Foundation Model / Image Gen,Image Generation,London,United Kingdom,2019,Emad Mostaque (resigned 2024),150,11.0,False,Private (struggling),Stable Diffusion,True,"Bloomberg, TechCrunch",2022,4,10,Growth ($100M+),False,1
OpenAI,2023-01-23,Strategic Investment,10000,19000.0,29000.0,Microsoft,None disclosed,Foundation Model / LLM,General-Purpose AI,San Francisco,United States,2015,Sam Altman,770,1600.0,False,Private,"ChatGPT, GPT-4, DALL-E 2",False,"Microsoft blog, WSJ",2023,1,1,Mega ($10B+),True,8
Cohere,2023-06-08,Series C,270,1930.0,2200.0,Inovia Capital,"Nvidia, Oracle, Salesforce Ventures, Index Ventures",Foundation Model / LLM,Enterprise AI,Toronto,Canada,2019,Aidan Gomez,450,35.0,False,Private,"Command, Embed, Rerank",True,TechCrunch,2023,2,6,Growth ($100M+),False,4
